Ejercicio;Tema
 Un tren que viaja a 20 m s cruza un puente en 17 s Si el puente tiene 250 m de largocalcula la longitud del tren;mru
 De dos puntos distintos A y B separados 250 m salen dos moviles uno al encuentro del otro El primero va a 3 m s y el segundo a 2 m s Calcular a- Ecuacion del movimiento de cada movil b- Tiempo que tardan en encontrarse c- Punto de encuentro d- En que instantes se encuentran los moviles separados 15 m;mru
2 trenes parten simultaneamente uno de P y otro de M Si la distancia de separacion entre ambos puntos es de 51 Km y ambos trenes deben encontrarse en I que se encuentra a 28 Km de P La velocidad del que parte de M es de 72 Km h a Tiempo que tardan en encontrarse b Velocidad del tren que parte de P c Tiempo que tardan en encontrarse a 10 Km de distancia uno de otro;mru
Una particula que viaja con velocidad constante y con trayectoria rectilinea tiene por posiciones en los instantes 05 segundos y 15 segundos 35 metros y 435 metros Calcular: a La velocidad de desplazamiento de la particula b La posicion de la particula en el instante t = 3 segundos;mru
Deducir las velocidades supuestas constantes de dos moviles A y B separados por una distancia de 30 Km sabiendo que si se mueven en la misma direccion y sentido se encuentran a 10 km de B pero que si se mueven en sentidos opuestos tardan 40 minutos en encontrarse;mru
Un tren de 150 m de largo que viaja a 15 m s se cruza con un 2º tren de 200 m de largo que viaja 10 m s Calcula el tiempo que tardan en cruzarse a Si viajan en sentidos opuestos b Si viajan en el mismo sentido;mru
a Un movil tiene un movimiento rectilineo y uniforme de 90 km h Calcular en unidades SI i- Espacio que recorre en 1 min ii- Tiempo que tarda en recorrer 1 km b Un atleta en 1500 metros lisos tardo 3 min 2023 s Hallar la velocidad media en unidades del SI y luego en km h c Las naves espaciales que van hacia otros planetas han de alcanzar al salir de la Tierra una velocidad de 11200 m s Expresar dicha velocidad en km h d Ordenar de menor a mayor las siguientes velocidades: 12 Km h 35 m s y 019 Km min;mru
a La luz que nos llega del sol tarda en llegar a nosotros 8 min 20s sabiendo que la luz se propaga con MRU a 300000km s Calcular la distancia a que esta el sol b Un movil parte de un espacio inicial de 4m en el instante 1 cero y se desplaza con movimiento rectilineo y uniforme en sentido positivo Su velocidad es de 15m s Escribir la expresion del espacio en funcion del tiempo (ecuacion del movimiento) y dibujar la grafica correspondiente;mru
Un vehiculo que viaja a velocidad constante aplica los frenos durante 25 s y recorre una distancia de 400 m antes de detenerse Determina: a La velocidad inicial del movimiento b Aceleracion de frenado;mruv
 Un hombre se encuentra a 40 m de un taxi corre con una velocidad constante de 35 m s intentando cogerlo Cuando pasan 25 segundos otro hombre que se encuentra a 25 m del taxi se pone en marcha con una aceleracion de 05 m s2  a ¿Quien llegara 1º al taxi? b Realizar una propuesta para que los dos lleguen al mismo tiempo manteniendo las mismas distancias y las mismas diferencias de tiempo entre ellos;mruv
 Una moto va a 180 km h frena durante 8 s con una aceleracion de 6 m s2  ¿Se parara?  en caso negativo ¿Que tiempo le faltara para pararse si continuase con la misma desaceleracion?;mruv
 Un movil va a 20 m s y acelera con 3 m s2 que mantiene durante un cierto tiempo Calcular: a- Velocidad y espacio a los 2 segundos b- Velocidad que tendra cuando haya recorrido 100 m;mruv
Un coche va a 40 m s frena con una a = 8 m s2  a Calcular el tiempo que tardara en pararse y la distancia que recorre hasta que se para b ¿Que distancia recorre en el ultimo segundo de movimiento?;mruv
a ¿Que velocidad alcanzara una nave espacial al cabo de 4 minutos y 10 segundos de ser lanzada si durante ese tiempo se mantiene con una aceleracion constante de 32 m s2  Expresar el resultado en km h ¿Que distancia recorrera en el tiempo citado? b Un cuerpo partiendo del reposo se mueve con una aceleracion constante de 8 m s2  i ¿Cuanto tiempo tardara en recorrer 10 m? ii ¿Cual sera su velocidad en el instante en que alcance dicha distancia?;mruv
 De dos puntos A y B que distan entre si 200 m salen simultaneamente dos moviles El que sale de A tiene una velocidad de 5 m s y va hacia B con una aceleracion constante de 1 m s2  El que sale de B va hacia A con movimiento uniforme a 12 m s ¿En que punto se cruzaran?;mruv
 A la entrada de un pueblo pasa un motorista con una velocidad de 60 km h el limite de velocidad en este tramo es de 50 km h En el mismo instante en que el motorista pasa por este tramo un policia que esta escondido sale en su persecucion con una a = 25 m s2  ¿Que tiempo tardara el policia en alcanzar al motorista? ¿ A que distancia de la entrada al pueblo lo alcanzara?;mruv
Un movil parte del reposo con una a = 2 m s2  hasta alcanzar una velocidad de 100 km h Mantiene esta velocidad durante 5 s posteriormente frena y se detiene al cabo de 8 s Calcular: a- El tiempo total invertido en el recorrido b- El espacio total recorrido;mruv
 Un conductor que viaja de noche en un automovil a 100 km h ve de repente las luces de senalizacion de una valla que se encuentra a 40 m en medio de la calzada Si tarda 075 s en pisar el pedal de los frenos y la deceleracion maxima del automovil es de 10 m s2  ¿Chocara con la valla? Si es asi ¿a que velocidad?;mruv
 Un avion que parte del reposo acelera uniformemente hasta alcanzar la velocidad de despegue de 75 m s en 5 s Calcular: a) La longitud de pista recorrida hasta despegar b) Distancia recorrida en el ultimo segundo antes de despegar c Tiempo que tarda en recorrer los ultimos 100 m;mruv
Dos ciclistas salen del mismo lugar al mismo tiempo Deben recorrer 90 km La velocidad del 1º es 1 km h mayor que la del 2º Si el primero llega una hora antes hallar la velocidad de ambos;mruv
Un galgo ve pasar un conejo a 100 m de distancia El conejo se mueve a 6 m s alejandose del galgo en direccion a su madriguera que se encuentra a 70 m de el Transcurridos 12 s el galgo reacciona y partiendo del reposo acelera a 04 m s2 en persecucion del conejo a ¿Logra atraparlo antes de que llegue a la madriguera? b En caso negativo ¿cual debe ser la aceleracion minima del galgo para poder atrapar al conejo?;mruv
Un movil partiendo del reposo acelera a 2 m s2  hasta alcanzar los 60 m s a continuacion mantiene dicha velocidad durante 500 m y finalmente frena y se detiene recorridos 200 m Calcular el tiempo total y el espacio recorrido durante todo el movimiento;mruv
Lanzamos verticalmente desde 25 m de altura hacia arriba un objeto a 20 m s Calcular: a) Tiempo que esta subiendo b) Altura maxima c) Tiempo total y tiempo que esta bajando d) Velocidad al llegar al suelo e) Velocidad a 10 m de altura f) Altura a la que esta cuando lleva una velocidad de 22 m s;tv
 ¿Cuanto tiempo tarda en llegar al suelo un objeto pesado que se deja caer sin velocidad inicial desde una altura de 10 m? Suponer nula la resistencia del aire;tv
 ¿Cuanto tiempo tarda en llegar al suelo un objeto pesado que se deja caer sin velocidad inicial desde una altura de 10 m? Suponer nula la resistencia del aire;tv
¿Con que velocidad se ha de lanzar una piedra verticalmente hacia abajo desde la boca de un pozo de 50 m de profundidad para que llegue al fondo en 2 segundos? ¿Con que velocidad llegara al fondo? Se supone nula la resistencia del aire;tv
Se lanza un cuerpo verticalmente hacia arriba con una velocidad inicial de 90 km h Despreciando la resistencia del aire calcular que altura alcanzara y cuanto tiempo tardara en llegar de nuevo al punto de partida;tv
La aceleracion de la gravedad en la superficie de la luna es de 16 m s2  ¿Con que velocidad llegaria al suelo lunar un cuerpo dejado caer sin velocidad inicial desde 5m de altura? Expresar el resultado en km h;tv
Desde una altura de 10 m lanzamos verticalmente hacia arriba un objeto con una velocidad inicial de 15 m s Calcular: a- La altura maxima con respecto al suelo que alcanza b- El tiempo que tarda en llegar al suelo;tv
Un globo sube con una velocidad constante de 2 m s cuando se encuentra a 15 m de altura respecto del suelo soltamos una piedra Calcular el tiempo que tardara en llegar al suelo;tv
 Desde lo alto del palo mayor de un velero que navega a 6 m s a una altura de 196 m se suelta una piedra Calcula: a) El tiempo que tarda la piedra en llegar a la cubierta del barco b) El punto de la cubierta donde cae la piedra;tv
Una piedra de un kilogramo se deja caer desde una torre de 10 m de altura En el mismo instante se lanza hacia arriba desde la base de la torre otra piedra con la misma masa y con una velocidad inicial de 15 m s Calcular: a) El tiempo transcurrido para que ambas piedras se encuentren b) Altura donde se encuentran ambas piedras;tv
Desde lo alto de una torre de 50 m de altura lanzamos verticalmente hacia abajo un objeto con una velocidad inicial de 10 m s Calcular: a) Tiempo que tarda el objeto en llegar al suelo b) Velocidad del objeto cuando haya recorrido 10 m de distancia;tv
Una piedra de un kilogramo se deja caer desde una torre de 10 m de altura En el mismo instante se lanza hacia arriba desde la base de la torre otra piedra con la misma masa y con una velocidad inicial de 15 m s Calcular: a) El tiempo transcurrido para que ambas piedras se encuentren b) Altura donde se encuentran ambas piedras;tv
 Desde lo alto de una torre de 50 m de altura lanzamos verticalmente hacia abajo un objeto con una velocidad inicial de 10 m s Calcular: a) Tiempo que tarda el objeto en llegar al suelo b) Velocidad del objeto cuando haya recorrido 10 m de distancia;tv
Desde una altura de 80 m se deja caer un objeto Dos segundos mas tarde se lanza otro desde el suelo hacia arriba en la misma vertical con una velocidad de 20 m s ¿A que altura se cruzan?;tv
¿Desde que altura dejaremos caer un objeto para que en el ultimo segundo recorra la mitad de esta?;tv
 Un malabarista lanza en la misma vertical y hacia arriba dos pelotas con velocidades de 30 m s y con un intervalo de tiempo de dos segundos Calcular: a Instante de tiempo en el cual se cruzan ambas pelotas b Velocidad de una de las pelotas un segundo antes de regresar a la mano del malabarista;tv
